Address,Town,DOR_Code,Total_Area,Year_Built,Remodel_Year,Quality,Condition,Architecture,Bedrooms,Bathrooms,Total_Rooms,Foundation,Garage_Stalls,Land_Value,Improvements_Value,Permanent_Crop_Value,Total_Value,Total_Acres,Data_Link,,,
,,65 - Services - Professional,None,None,None,None,None,None,None,None,None,None,None,40,1430,0,1470,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921452&parcelNumber=131800001060001&typeID=1,,,
,,65 - Services - Professional,None,None,None,None,None,None,None,None,None,None,None,40,1430,0,1470,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921451&parcelNumber=131800001050002&typeID=1,,,
,,99 - Undeveloped - Other,276,1910,,2.0 - Fair,2.0 - Fair,&nbsp;,2,0,,&nbsp;,,40,1430,0,1470,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921056&parcelNumber=127650026120000&typeID=1,,,
PO BOX 713,TEKOA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,1254,230,0,1484,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=919794&parcelNumber=117450009030000&typeID=1,,,
25813 HUDSON CT,LOMA LINDA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,138,1380,0,1518,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921086&parcelNumber=127700007120000&typeID=1,,,
4551 RYAN RD,PULLMAN,11 - Residential - Single Family,716,1906,,3.0 - Average,2.0 - Fair,&nbsp;,3,1,,&nbsp;,,265,1265,0,1530,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932099&parcelNumber=200004413042901&typeID=1,,,
3775 CATHEDRAL ROCK RD,MALAGA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,368,1208,0,1576,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942312&parcelNumber=832104017200020&typeID=1,,,
81 SPENCER 2ND ADDITION,THORNTON,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,1035,0,1622,1.7308,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921681&parcelNumber=135100001160000&typeID=1,,,
WHITMAN CO FIRE DIST#4,PALOUSE,67 - Services - Governmental,None,None,None,None,None,None,None,None,None,None,None,1100,550,0,1650,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=941105&parcelNumber=808000000000115&typeID=1,,,
402 JOHN HENLEY RD,HAY,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,1150,0,1737,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922177&parcelNumber=141550000000031&typeID=1,,,
92 4TH AVE (PINE CITY),ROSALIA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,1150,0,1737,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921920&parcelNumber=137200003040000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,1100,660,0,1760,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909992&parcelNumber=104950010100000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,1000,770,0,1770,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909991&parcelNumber=104950010090000&typeID=1,,,
PO BOX 15,ROSALIA,39 - Commercial - Misc Commercial,None,None,None,None,None,None,None,None,None,None,None,1196,575,0,1771,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918649&parcelNumber=115750014250002&typeID=1,,,
,,99 - Undeveloped - Other,1190,1896,,3.0 - Average,2.5 - Fair/Average,Conventional,3,0,,Concrete,,40,1760,0,1800,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921033&parcelNumber=127650019080000&typeID=1,,,
,,68 - Services - Educational,None,None,None,None,None,None,None,None,None,None,None,1140,660,0,1800,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=912841&parcelNumber=108550009050000&typeID=1,,,
,,99 - Undeveloped - Other,1094,1898,,1.0 - Low,1.5 - Low/Fair,&nbsp;,2,1,,&nbsp;,,200,1650,0,1850,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921029&parcelNumber=127650019010000&typeID=1,,,
282 RAILROAD STREET,THORNTON,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,1380,518,0,1898,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921691&parcelNumber=135159907000000&typeID=1,,,
,,99 - Undeveloped - Other,1176,1901,,2.0 - Fair,2.0 - Fair,&nbsp;,0,0,,&nbsp;,,40,1870,0,1910,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920984&parcelNumber=127650009050000&typeID=1,,,
,,99 - Undeveloped - Other,722,1895,,2.0 - Fair,2.0 - Fair,&nbsp;,5,1,,&nbsp;,,40,1870,0,1910,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921024&parcelNumber=127650018060000&typeID=1,,,
715 E COURTLAND AVE,SPOKANE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,1328,0,1915,0.1721,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921642&parcelNumber=135000004000000&typeID=1,,,
,,67 - Services - Governmental,None,None,None,None,None,None,None,None,None,None,None,1680,286,0,1966,50,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932349&parcelNumber=200004413302901&typeID=1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918267&parcelNumber=115609900140000&typeID=1,,
,ROSALIA,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,1000,990,0,1990,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=941784&parcelNumber=816350000000097&typeID=1,,,
,,68 - Services - Educational,None,None,None,None,None,None,None,None,None,None,None,1788,220,0,2008,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=912836&parcelNumber=108550008160000&typeID=1,,,
12 MORELAND AVE,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,1495,0,2082,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922387&parcelNumber=142200046080000&typeID=1,,,
PO BOX 16,UNIONTOWN,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,1725,460,0,2185,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920352&parcelNumber=118259905150003&typeID=1,,,
PO BOX 194,OAKESDALE,82 - Resource - Agriculture Activities,None,None,None,None,None,None,None,None,None,None,None,0,2185,0,2185,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934561&parcelNumber=200004419351901&typeID=1,,,
7456 WHEELER RD,MAPLE FALLS,11 - Residential - Single Family,735,1905,,2.0 - Fair,2.0 - Fair,&nbsp;,0,0,,&nbsp;,,138,2070,0,2208,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922149&parcelNumber=141400005050000&typeID=1,,,
101 E MCCOY STREET,OAKESDALE,68 - Services - Educational,None,None,None,None,None,None,None,None,None,None,None,1000,1210,0,2210,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910860&parcelNumber=106450022020004&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,1670,550,0,2220,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=941978&parcelNumber=818600000000004&typeID=1,,,
6354 LANCASTER RD,ST JOHN,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,1725,506,0,2231,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942429&parcelNumber=836054118290015&typeID=1,,,
,,67 - Services - Governmental,None,None,None,None,None,None,None,None,None,None,None,480,1760,0,2240,16,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932038&parcelNumber=200004412022902&typeID=1,,,
,,99 - Undeveloped - Other,786,1886,,2.0 - Fair,2.0 - Fair,&nbsp;,2,1,,&nbsp;,,40,2200,0,2240,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921046&parcelNumber=127650023070000&typeID=1,,,
12962 SR 194,PULLMAN,81 - Resource - Agriculture,None,None,None,None,None,None,None,None,None,None,None,1800,500,0,2300,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=930125&parcelNumber=200004315363339&typeID=1,,,
C/O LADOW COURT ASSISTED LIVING,GARFIELD,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,1800,500,0,2300,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940727&parcelNumber=803600000000079&typeID=1,,,
,,47 - Transportation - Communication,None,None,None,None,None,None,None,None,None,None,None,1100,1210,0,2310,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909966&parcelNumber=104950009040002&typeID=1,,,
PO BOX 248,UNIONTOWN,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,1553,759,0,2312,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920383&parcelNumber=118259909160000&typeID=1,,,
41 N BAART RD,MESA,11 - Residential - Single Family,310,1926,,3.0 - Average,3.0 - Average,&nbsp;,1,1,,&nbsp;,,587,1725,0,2312,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921817&parcelNumber=135909906000003&typeID=1,,,
PO BOX 47,LACROSSE,81 - Resource - Agriculture,None,None,None,None,None,None,None,None,None,None,None,1000,1320,0,2320,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909946&parcelNumber=104950006150001&typeID=1,,,
PO BOX 47,LACROSSE,81 - Resource - Agriculture,None,None,None,None,None,None,None,None,None,None,None,1000,1320,0,2320,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909950&parcelNumber=104950006160002&typeID=1,,,
18245 SR 27,PALOUSE,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,540,1800,0,2340,0.3,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920959&parcelNumber=126700010000000&typeID=1,,,
3132 SHAHAN RD,COLFAX,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,2340,0,0,2340,1.3,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=931363&parcelNumber=200004318363190&typeID=1,,,
,,99 - Undeveloped - Other,1054,1895,,1.0 - Low,1.5 - Low/Fair,&nbsp;,2,0,,&nbsp;,,40,2310,0,2350,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920991&parcelNumber=127650011050000&typeID=1,,,
41452 SR 195,COLFAX,18 - Residential - All other,None,None,None,None,None,None,None,None,None,None,None,1150,1265,0,2415,0.1377,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922234&parcelNumber=142200013090000&typeID=1,,,
3302 ENDICOTT-ST JOHN ROAD,ST JOHN,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,230,2277,0,2507,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942420&parcelNumber=836054118290002&typeID=1,,,
113 S BROADWAY ST,TEKOA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,2300,230,0,2530,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909234&parcelNumber=103300022010000&typeID=1,,,
PO BOX 326,MALDEN,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,1150,1380,0,2530,0.1033,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910672&parcelNumber=105800051120002&typeID=1,,,
PO BOX 635,TEKOA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,2300,230,0,2530,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=919665&parcelNumber=117350001140000&typeID=1,,,
